Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
8396,16,1.15,2.65,27.22,ND,0.5355,0.5128,15.16,0.1450,0.0197,0.0110,0.0195,2.3180,ND,0.0049,0.0023,0.0013,0.0004,0.0007,0.0040,0.0424,0.0014,0.0052,0.0005,ND,ND,ND,ND,ND,ND,ND,0.0005,ND,0.0013,ND,50.19
8396,16,2.29,3.23,23.92,0.0341,0.6123,0.6757,15.85,0.1759,0.0196,0.0108,0.0258,3.3893,ND,0.0055,0.0024,0.0018,0.0005,0.0008,0.0044,0.0406,0.0017,0.0062,0.0009,ND,ND,ND,ND,ND,ND,ND,0.0005,ND,ND,ND,49.70
8397,16,2.39,3.24,21.31,ND,0.6009,0.6303,17.15,0.1890,0.0149,0.0096,0.0233,3.2234,ND,0.0049,0.0029,0.0016,0.0004,0.0007,0.0047,0.0402,0.0018,0.0064,0.0009,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,ND,ND,51.16
8397,16,2.27,3.98,23.35,0.0658,0.7208,0.7204,14.76,0.1685,ND,0.0117,0.0257,3.1473,ND,0.0048,0.0024,0.0013,0.0006,0.0008,0.0043,0.0410,0.0017,0.0060,0.0010,ND,ND,ND,ND,ND,ND,0.0006,ND,ND,ND,ND,50.71
8398,16,1.64,2.74,18.32,ND,0.6253,0.4786,21.42,0.1830,0.0273,0.0069,0.0281,2.7068,ND,0.0035,0.0017,0.0012,0.0007,0.0005,0.0035,0.1426,0.0022,0.0072,0.0012,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,0.0019,ND,51.66
8398,16,1.51,4.75,29.20,0.2656,1.0286,1.3228,7.91,0.2782,0.0272,0.0196,0.0159,2.7322,ND,0.0093,0.0039,0.0021,0.0008,0.0015,0.0077,0.0272,0.0037,0.0099,0.0016,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,0.0013,0.0006,50.87
8399,16,1.66,5.23,29.01,ND,1.9271,1.4179,6.29,0.2784,0.0260,0.0157,0.0205,3.4711,ND,0.0078,0.0040,0.0058,0.0009,0.0020,0.0083,0.0311,0.0025,0.0102,0.0015,0.0004,ND,ND,ND,ND,ND,0.0005,0.0015,ND,0.0010,ND,50.57
8399,16,2.07,7.74,31.04,ND,1.7124,2.6285,0.81,0.3654,0.0261,0.0132,0.0254,3.2714,ND,0.0120,0.0048,0.0164,0.0006,0.0008,0.0152,0.0249,0.0018,0.0127,0.0026,ND,ND,ND,ND,ND,ND,0.0005,0.0016,ND,ND,ND,50.20
8400,16,1.64,6.96,33.62,ND,1.2104,2.3438,0.37,0.3310,0.0280,0.0120,0.0244,2.8854,ND,0.0099,0.0045,0.0285,0.0004,0.0009,0.0132,0.0252,0.0017,0.0112,0.0022,ND,ND,ND,ND,ND,ND,ND,0.0016,ND,ND,ND,50.47
8400,16,1.97,6.97,33.70,ND,1.1912,2.3310,0.30,0.3566,0.0190,0.0145,0.0206,2.9221,ND,0.0132,0.0045,0.0356,0.0007,0.0011,0.0133,0.0243,0.0017,0.0110,0.0024,0.0005,ND,ND,ND,ND,ND,ND,0.0016,ND,0.0010,ND,50.10
8401,16,1.43,5.92,32.98,ND,2.0745,1.7950,0.84,0.2880,0.0198,0.0112,0.0214,2.5915,ND,0.0128,0.0042,0.0223,0.0007,0.0013,0.0108,0.0173,0.0015,0.0096,0.0019,ND,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,ND,51.94
8401,16,1.62,7.47,33.37,ND,1.2346,2.5078,0.22,0.3510,0.0269,0.0246,0.0185,3.1818,ND,0.0117,0.0045,0.0273,0.0009,0.0020,0.0138,0.0196,0.0018,0.0123,0.0022,0.0004,ND,ND,ND,ND,ND,0.0006,0.0016,ND,0.0013,ND,49.88
8402,16,1.63,6.18,33.87,ND,1.2252,1.9697,0.64,0.3184,0.0233,0.0099,0.0270,2.9811,ND,0.0076,0.0050,0.0190,0.0007,0.0011,0.0114,0.0241,0.0016,0.0105,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0016,ND,0.0016,ND,51.04
8402,16,1.58,6.27,27.86,1.8810,1.6614,1.8907,6.20,0.3198,0.0413,0.0378,0.0255,3.9050,ND,0.0124,0.0055,0.0223,0.0013,0.0022,0.0100,0.0377,0.0258,0.0105,0.0016,0.0004,ND,ND,ND,ND,ND,0.0005,0.0014,ND,0.0010,0.0025,48.18
8403,16,1.63,6.93,32.62,ND,1.0787,2.2890,0.73,0.3493,0.0287,0.0153,0.0221,2.9553,ND,0.0111,0.0047,0.0280,0.0005,0.0012,0.0127,0.0203,0.0019,0.0124,0.0020,ND,ND,ND,ND,ND,0.0016,ND,0.0016,ND,ND,ND,51.25
8403,16,1.45,7.39,31.97,ND,1.4616,2.4334,0.55,0.3638,0.0355,0.0233,0.0196,3.5824,ND,0.0185,0.0059,0.0704,0.0008,0.0021,0.0128,0.0139,0.0022,0.0135,0.0022,ND,ND,ND,ND,ND,ND,0.0006,0.0020,ND,0.0010,ND,50.57
8404,16,1.54,7.56,33.09,ND,1.2009,2.4821,ND,0.3518,0.0318,0.0218,0.0251,3.1499,ND,0.0153,0.0057,0.0409,0.0012,0.0023,0.0133,0.0144,0.0021,0.0121,0.0022,ND,ND,ND,ND,ND,0.0015,0.0005,0.0015,ND,ND,0.0005,50.43
8404,16,1.62,7.08,33.32,ND,1.1443,2.2951,0.42,0.3474,0.0261,0.0153,0.0177,2.7973,ND,0.0152,0.0053,0.0377,0.0009,0.0015,0.0126,0.0187,0.0021,0.0123,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,ND,ND,50.81
8405,16,1.26,6.48,34.82,ND,1.3983,2.0866,0.26,0.3304,0.0302,0.0171,0.0216,2.8822,ND,0.0132,0.0057,0.0313,0.0007,0.0019,0.0117,0.0154,0.0019,0.0109,0.0019,ND,ND,ND,ND,ND,ND,0.0006,0.0015,ND,ND,ND,50.32
8405,16,1.38,6.69,33.00,0.0632,1.0992,2.2363,0.30,0.3474,0.0250,0.0278,0.0145,2.8764,ND,0.0149,0.0049,0.0331,0.0011,0.0022,0.0126,0.0127,0.0027,0.0118,0.0018,0.0004,ND,ND,ND,ND,ND,0.0006,0.0015,ND,0.0016,0.0007,51.85
8406,16,1.49,6.61,34.28,ND,1.1428,2.1137,0.04,0.3141,0.0303,0.0159,0.0218,2.6571,ND,0.0123,0.0044,0.0212,0.0008,0.0018,0.0120,0.0143,0.0015,0.0113,0.0018,ND,ND,ND,ND,ND,ND,ND,0.0020,ND,0.0010,ND,51.19
8406,16,1.54,6.97,34.48,ND,0.9181,2.3275,0.13,0.3418,0.0185,0.0132,0.0234,2.6460,ND,0.0110,0.0046,0.0124,0.0004,0.0013,0.0128,0.0160,0.0016,0.0121,0.0020,ND,ND,ND,ND,ND,0.0014,ND,0.0017,ND,ND,ND,50.52
8407,16,1.45,4.69,31.30,0.0666,1.1112,1.3427,6.32,0.2418,0.0157,0.0133,0.0180,2.6018,ND,0.0083,0.0042,0.0068,0.0009,0.0012,0.0079,0.0235,0.0028,0.0086,0.0019,0.0006,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,0.0007,50.75
8407,16,1.77,5.25,27.35,1.3126,1.3024,1.4142,8.58,0.2557,0.0290,0.0183,0.0215,2.9594,ND,0.0087,0.0039,0.0021,0.0008,0.0013,0.0079,0.0366,0.0126,0.0092,0.0017,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,0.0015,0.0013,49.66
8408,16,3.06,4.72,22.54,ND,0.6593,1.1294,12.17,0.2363,0.0208,0.0107,0.0385,4.7744,ND,0.0051,0.0026,0.0013,0.0006,0.0005,0.0070,0.0281,0.0018,0.0078,0.0014,ND,ND,ND,ND,ND,ND,0.0005,0.0008,ND,ND,ND,50.58
8408,16,2.57,4.20,21.58,0.0610,1.0569,1.0084,13.74,0.2161,0.0168,0.0087,0.0389,4.5165,ND,0.0059,0.0027,0.0017,0.0007,0.0009,0.0061,0.0382,0.0021,0.0068,0.0012,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,ND,ND,50.93
8409,16,2.73,2.51,16.56,0.0293,0.4700,0.4324,22.46,0.1339,0.0278,0.0054,0.0335,4.1751,ND,0.0020,0.0022,0.0016,0.0005,0.0005,0.0031,0.0506,0.0014,0.0042,0.0006,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,0.0013,ND,50.36
8409,16,1.28,6.17,35.59,ND,1.2045,1.8649,0.49,0.3338,0.0265,0.0184,0.0165,2.1046,ND,0.0088,0.0036,0.0014,0.0006,0.0017,0.0099,0.0136,0.0008,0.0118,0.0017,ND,ND,ND,ND,ND,ND,ND,0.0016,ND,0.0011,ND,50.84
8410,16,1.19,0.53,12.54,ND,0.2032,ND,34.71,0.0531,0.0118,0.0080,0.0241,0.9598,ND,ND,0.0012,0.0059,0.0003,ND,0.0002,0.0658,0.0010,0.0017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,49.68
8410,16,1.24,1.58,26.50,0.1019,0.4894,0.1926,17.04,0.1087,0.0111,0.0137,0.0141,1.2365,ND,0.0039,0.0017,0.0048,0.0005,0.0009,0.0022,0.0434,0.0021,0.0037,0.0005,ND,ND,ND,ND,ND,ND,ND,0.0005,ND,0.0010,ND,51.41
8411,16,1.29,4.68,37.26,ND,1.0508,1.3452,0.23,0.2618,0.0163,0.0160,0.0119,2.1047,ND,0.0133,0.0048,0.0208,0.0006,0.0023,0.0082,0.0086,0.0008,0.0090,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,ND,51.65
8411,16,1.81,0.53,3.94,0.0418,0.1976,ND,40.66,0.0587,0.0140,ND,0.0195,0.5874,ND,ND,0.0019,0.0007,0.0005,0.0004,0.0004,0.0676,0.0007,0.0024,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,52.07
8412,16,1.59,3.86,26.04,0.0667,0.7092,0.8244,15.10,0.2204,0.0255,0.0138,0.0189,2.0640,ND,0.0072,0.0035,0.0149,0.0005,0.0011,0.0054,0.0346,0.0020,0.0071,0.0010,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,0.0006,49.40
8412,16,1.46,5.43,34.89,ND,1.7298,1.6378,0.47,0.2683,0.0226,0.0203,0.0096,2.5689,ND,0.0124,0.0059,0.0126,0.0011,0.0018,0.0096,0.0097,0.0007,0.0089,0.0015,0.0004,ND,ND,ND,ND,0.0014,ND,0.0019,ND,ND,ND,51.41
8413,16,0.64,0.39,42.27,ND,0.4556,ND,3.20,0.0394,0.0112,ND,ND,0.2359,ND,ND,ND,0.0096,ND,ND,0.0002,0.0129,0.0003,0.0012,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,ND,ND,52.73
8413,16,1.28,5.39,36.80,ND,1.1453,1.6302,ND,0.2768,0.0256,0.0182,0.0127,2.1675,ND,0.0106,0.0043,0.0189,0.0006,0.0017,0.0104,0.0097,0.0007,0.0089,0.0015,0.0004,ND,ND,ND,ND,0.0013,ND,0.0015,ND,0.0009,ND,51.18
8414,16,1.33,0.75,19.94,ND,2.7152,ND,24.18,0.0401,ND,0.0060,0.0098,4.9154,ND,ND,0.0017,0.0021,0.0006,0.0010,0.0003,0.1075,0.0026,0.0029,0.0006,0.0005,ND,ND,ND,ND,ND,ND,0.0006,ND,0.0016,ND,45.99
8414,16,1.09,4.31,33.68,ND,1.2685,1.0889,7.06,0.2265,0.0172,0.0157,0.0162,2.2211,ND,0.0103,0.0043,0.0149,0.0008,0.0014,0.0056,0.0452,0.0026,0.0075,0.0011,ND,ND,ND,ND,ND,0.0014,ND,0.0014,ND,0.0017,0.0007,48.91
8415,16,1.38,3.64,34.10,ND,0.9361,0.8709,6.72,0.1887,0.0294,0.0098,0.0111,1.7867,ND,0.0069,0.0032,0.0232,0.0005,0.0009,0.0060,0.0251,0.0016,0.0065,0.0011,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,ND,ND,50.25
8415,16,1.37,3.89,39.34,ND,0.7266,1.1235,ND,0.2187,0.0200,0.0137,0.0085,1.4891,ND,0.0071,0.0029,0.0168,0.0003,0.0011,0.0076,0.0079,0.0007,0.0069,0.0010,0.0004,ND,ND,ND,ND,ND,ND,0.0010,ND,ND,ND,51.75
8416,16,1.29,3.50,30.24,0.9390,1.0058,0.8243,9.92,0.2035,0.0288,0.0196,0.0152,2.0246,ND,0.0109,0.0039,0.0142,0.0006,0.0017,0.0052,0.0524,0.0067,0.0071,0.0010,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,ND,0.0007,49.87
8416,16,1.19,4.70,38.68,ND,1.1200,1.3594,ND,0.2191,0.0283,0.0177,0.0140,2.0975,ND,0.0112,0.0049,0.0086,0.0007,0.0021,0.0085,0.0078,0.0006,0.0075,0.0012,ND,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,ND,50.52
8417,16,1.79,5.12,36.03,ND,1.3673,1.4358,0.06,0.2523,0.0224,0.0145,0.0215,2.6497,ND,0.0099,0.0051,0.0301,0.0006,0.0016,0.0097,0.0098,0.0008,0.0085,0.0016,0.0003,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,ND,51.16
8417,16,1.41,4.25,35.90,ND,1.3695,1.1948,3.58,0.2510,0.0204,0.0129,0.0120,1.8494,ND,0.0082,0.0034,0.0182,0.0005,0.0012,0.0058,0.0376,0.0028,0.0072,0.0014,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,0.0011,0.0006,50.06
8418,16,1.31,5.11,34.37,0.1331,1.1199,1.3689,4.57,0.2591,0.0359,0.0227,0.0174,2.2949,ND,0.0137,0.0048,0.0162,0.0007,0.0019,0.0076,0.0260,0.0031,0.0083,0.0013,ND,ND,ND,ND,ND,ND,0.0005,0.0013,ND,ND,ND,49.31
8418,16,1.51,6.35,35.28,ND,1.2331,1.9652,0.14,0.3007,0.0317,0.0196,0.0139,2.3762,ND,0.0135,0.0047,0.0194,0.0008,0.0017,0.0113,0.0084,0.0012,0.0102,0.0018,ND,ND,ND,ND,ND,ND,ND,0.0016,ND,ND,ND,50.71
8419,16,1.02,1.40,14.98,ND,0.4735,0.1742,29.45,0.1149,0.0161,0.0090,0.0230,1.7256,ND,0.0037,0.0021,0.0043,0.0004,0.0004,0.0018,0.0618,0.0019,0.0039,ND,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,ND,ND,50.53
8419,16,1.60,0.68,10.47,ND,0.2895,ND,35.12,0.0600,0.0150,ND,0.0231,1.3403,ND,ND,0.0012,0.0020,0.0004,0.0003,ND,0.2105,0.0010,0.0052,ND,ND,ND,ND,ND,ND,ND,ND,0.0005,ND,0.0031,ND,50.18
8420,16,1.27,0.21,7.02,ND,0.2190,ND,38.36,0.0580,0.0160,ND,0.0208,1.1938,ND,ND,0.0013,0.0013,ND,0.0002,ND,0.1415,0.0007,0.0031,ND,ND,ND,ND,ND,ND,ND,0.0006,0.0008,ND,0.0028,ND,51.49
8420,16,1.51,7.25,33.00,ND,1.2466,2.3478,0.28,0.3360,0.0280,0.0226,0.0181,2.6021,ND,0.0140,0.0055,0.0062,0.0005,0.0017,0.0133,0.0108,0.0008,0.0112,0.0019,ND,ND,ND,ND,ND,0.0011,0.0004,0.0022,ND,0.0010,ND,51.29
8421,16,1.29,1.82,15.37,0.0920,0.3910,0.2081,31.43,0.1180,0.0148,0.0093,0.0243,1.6662,ND,0.0037,0.0016,0.0035,0.0005,0.0006,0.0016,0.0536,0.0017,0.0034,0.0006,0.0005,ND,ND,ND,ND,0.0016,ND,0.0006,ND,0.0016,ND,47.49
8421,16,1.27,0.78,14.53,0.1417,1.0522,ND,31.80,0.0707,0.0219,ND,0.0223,2.2960,ND,ND,0.0014,0.0025,0.0003,0.0006,0.0004,0.0696,0.0010,0.0032,ND,ND,ND,ND,ND,ND,ND,0.0007,0.0007,ND,0.0012,ND,47.92
8422,16,1.59,3.21,31.72,0.0381,0.8525,0.6282,11.94,0.1814,0.0209,0.0162,0.0148,1.9325,ND,0.0064,0.0029,0.0070,0.0006,0.0013,0.0039,0.0517,0.0019,0.0056,0.0007,ND,ND,ND,ND,ND,ND,0.0005,0.0008,ND,0.0013,ND,47.77
8422,16,1.24,3.36,31.96,0.0766,0.7727,0.7225,11.00,0.1865,0.0215,0.0179,0.0160,1.8849,ND,0.0083,0.0035,0.0142,0.0005,0.0014,0.0045,0.0447,0.0021,0.0063,0.0008,ND,ND,ND,ND,ND,ND,ND,0.0010,ND,ND,ND,48.65
8423,16,1.32,4.75,37.26,ND,1.2903,1.3940,0.52,0.2370,0.0237,0.0145,0.0132,2.0735,ND,0.0118,0.0041,0.0167,0.0009,0.0016,0.0089,0.0093,0.0008,0.0081,0.0016,ND,ND,ND,ND,ND,ND,0.0005,0.0016,ND,ND,ND,51.04
8423,16,2.08,5.27,34.72,ND,1.4380,1.4588,ND,0.2548,0.0246,0.0093,0.0174,2.0549,ND,0.0067,0.0039,0.0079,0.0005,0.0011,0.0103,0.0125,0.0008,0.0094,0.0017,ND,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,ND,52.61
8424,16,1.56,0.95,12.56,0.0631,0.5077,0.0377,32.12,0.0748,0.0139,0.0076,0.0197,1.7173,ND,0.0022,0.0015,0.0026,0.0006,0.0005,0.0010,0.1251,0.0020,0.0041,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,ND,0.0013,ND,50.23
8424,16,1.49,5.44,35.34,ND,2.0872,1.4619,0.05,0.2273,0.0228,0.0201,0.0069,1.8769,ND,0.0111,0.0046,0.0082,0.0007,0.0023,0.0085,0.0095,0.0009,0.0076,0.0013,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,ND,0.0007,51.92
8425,16,2.78,2.49,29.55,ND,0.5505,0.4760,10.22,0.1489,0.0168,0.0073,0.0281,3.5835,ND,0.0041,0.0019,0.0056,0.0004,0.0006,0.0035,0.0195,0.0015,0.0050,0.0009,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,ND,ND,50.09
8425,16,1.89,4.36,32.29,ND,1.1679,1.0279,5.16,0.2488,0.0189,0.0111,0.0205,2.9795,ND,0.0086,0.0026,0.0070,0.0005,0.0011,0.0062,0.0167,0.0017,0.0089,0.0013,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,50.77
8426,16,1.26,5.13,37.62,ND,1.0292,1.4005,ND,0.2875,0.0149,0.0212,0.0080,1.9501,ND,0.0109,0.0035,0.0051,0.0009,0.0020,0.0084,0.0106,0.0008,0.0105,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,0.0009,ND,51.23
8426,16,1.55,4.95,35.77,ND,1.0000,1.4302,1.44,0.2739,0.0195,0.0156,0.0164,1.7818,ND,0.0091,0.0034,0.0147,0.0005,0.0015,0.0081,0.0141,0.0010,0.0098,0.0015,ND,ND,ND,ND,ND,ND,0.0005,0.0012,ND,ND,ND,51.69
8427,16,1.22,4.94,36.85,ND,1.1482,1.3899,0.46,0.2687,0.0224,0.0184,0.0109,2.0140,ND,0.0099,0.0040,0.0073,0.0011,0.0018,0.0083,0.0098,0.0008,0.0103,0.0018,0.0004,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,ND,51.61
8427,16,2.23,5.19,29.69,0.2509,1.2495,1.3185,7.15,0.3137,0.0279,0.0149,0.0197,3.1441,ND,0.0062,0.0041,0.0039,0.0009,0.0014,0.0072,0.0248,0.0019,0.0109,0.0013,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,0.0006,49.33
8428,16,2.08,5.50,24.89,ND,0.9307,1.3057,12.96,0.2949,0.0221,0.0111,0.0247,2.7677,ND,0.0051,0.0031,0.0041,0.0009,0.0010,0.0067,0.0308,0.0011,0.0106,0.0013,ND,ND,ND,ND,ND,ND,ND,0,ND,0.0014,ND,49.14
8428,16,0.81,0.76,6.23,ND,0.1989,ND,39.38,0.0861,0.0170,ND,0.0188,1.1130,ND,ND,ND,0.0029,0.0004,0.0003,0.0004,0.0772,0.0012,0.0031,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,0.0018,ND,51.30
8429,16,1.80,3.68,20.75,ND,0.5992,0.6391,20.44,0.2290,0.0173,0.0093,0.0277,2.2315,ND,0.0034,0.0022,0.0029,0.0005,0.0008,0.0043,0.0347,0.0016,0.0087,0.0010,ND,ND,ND,ND,ND,ND,ND,0,ND,0.0013,ND,49.52
8429,16,1.80,5.31,26.08,0.1353,3.2090,1.2674,6.14,0.2984,0.0235,0.0153,0.0168,2.7555,ND,0.0079,0.0032,0.0038,0.0011,0.0013,0.0081,0.0217,0.0025,0.0130,0.0022,ND,ND,ND,ND,ND,ND,0,0,ND,ND,0.0005,52.88
8430,16,2.62,5.47,27.36,0.0512,2.6187,1.2432,5.07,0.2805,0.0289,0.0114,0.0178,2.4079,ND,0.0060,0.0026,0.0030,0.0009,0.0010,0.0081,0.0174,0.0013,0.0126,0.0017,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,52.76
8430,16,2.51,4.03,26.13,ND,3,1,5.83,0.2585,0.0187,0.0113,0.0213,3.0791,ND,0.0048,0.0026,0.0031,0.0012,0.0013,0.0062,0.0159,0.0011,0.0127,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,0.0010,ND,54.73
8431,16,1.87,5.29,32.87,0.0611,1.6333,1.3611,4.12,0.3110,0.0199,0.0199,0.0170,2.8405,ND,0.0072,0.0045,0.0049,0.0012,0.0022,0.0075,0.0188,0.0015,0.0112,0.0018,ND,ND,ND,ND,ND,0.0011,ND,0.0015,ND,ND,ND,49.52
8431,16,1.53,4.56,33.08,0.1431,2.4005,1.0998,4.15,0.2915,0.0240,0.0172,0.0130,2.1945,ND,0.0066,0.0040,0.0070,0.0007,0.0016,0.0062,0.0223,0.0022,0.0096,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,0.0007,50.43
8432,16,1.60,5.60,31.22,ND,2.1431,1.6868,1.51,0.3131,0.0271,0.0336,0.0105,2.9634,ND,0.0168,0.0080,0.0154,0.0010,0.0031,0.0098,0.0145,0.0011,0.0115,0.0022,0.0008,ND,ND,ND,ND,0.0013,ND,0.0019,ND,ND,ND,52.81
8432,16,1.48,5.01,33.04,ND,3.4709,1.3133,1.19,0.3250,0.0279,0.0181,0.0097,2.2036,ND,0.0097,0.0035,0.0277,0.0010,0.0018,0.0085,0.0112,0.0010,0.0138,0.0018,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,ND,ND,51.84
8433,16,1.20,4.55,29.18,0.0563,1.1904,1.1429,8.26,0.2570,0.0281,0.0274,0.0143,2.4508,ND,0.0099,0.0046,0.0132,0.0010,0.0023,0.0074,0.0222,0.0017,0.0093,0.0016,ND,ND,ND,ND,ND,ND,0.0005,0.0013,ND,ND,ND,51.58
8433,16,1.29,4.77,33.47,1.7794,1.2119,1.2954,2.92,0.2408,0.0246,0.0203,0.0127,2.1675,ND,0.0106,0.0056,0.0103,0.0008,0.0028,0.0088,0.0108,0.0019,0.0083,0.0015,0.0004,ND,ND,ND,ND,ND,0.0005,0.0015,ND,ND,ND,50.74
8434,16,0.91,0.57,9.76,ND,0.2020,ND,36.04,0.0684,0.0139,ND,0.0141,0.7569,ND,ND,0.0015,0.0024,ND,0.0004,0.0005,0.0495,0.0009,0.0018,ND,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,ND,ND,51.62
8434,16,1.40,0.66,7.00,ND,0.2459,0.0086,39.54,0.0729,0.0153,0.0071,0.0187,0.8279,ND,ND,0.0012,0.0019,0.0003,0.0003,0.0007,0.0522,0.0008,0.0021,ND,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,0.0014,ND,50.15
8435,16,1.26,0.42,5.42,ND,0.2251,ND,40.30,0.0679,0.0202,ND,0.0163,0.6304,ND,ND,0.0018,0.0016,0.0003,0.0002,0.0006,0.0474,0.0007,0.0020,ND,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,ND,ND,51.59
8435,16,1.24,0.35,8.16,ND,0.1406,ND,36.80,0.0543,0.0151,ND,0.0139,0.5520,ND,ND,0.0017,0.0015,ND,0.0003,0.0004,0.0367,0.0006,0.0012,ND,ND,ND,ND,ND,ND,ND,ND,0.0004,ND,0.0015,ND,52.63
8436,16,1.37,0.32,4.13,ND,0.3145,ND,41.02,0.0519,0.0140,ND,0.0157,0.5016,ND,ND,0.0011,0.0024,ND,0.0003,0.0004,0.0507,0.0006,0.0016,ND,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,0.0020,ND,52.21
8436,16,2.43,0.39,5.25,ND,0.3857,ND,38.48,0.0559,0.0186,ND,0.0119,0.4926,ND,ND,0.0014,0.0020,ND,0.0003,0.0003,0.0505,0.0008,0.0012,ND,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,0.0014,ND,52.43
8437,16,1.70,4.90,30.33,ND,1.7319,1.2246,5.79,0.2764,0.0260,0.0158,0.0123,2.0719,ND,0.0094,0.0044,0.0130,0.0007,0.0016,0.0084,0.0204,0.0017,0.0106,0.0014,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,51.85
8437,16,1.52,7.21,30.61,ND,1.3625,2.1820,1.91,0.3704,0.0315,0.0306,0.0154,2.9172,ND,0.0125,0.0053,0.0450,0.0013,0.0020,0.0122,0.0147,0.0011,0.0132,0.0023,0.0007,ND,ND,ND,ND,ND,ND,0.0018,ND,0.0010,ND,51.72
8438,16,1.56,5.90,34.37,0.0741,1.2760,1.6261,1.79,0.3249,0.0214,0.0161,0.0166,2.4841,ND,0.0126,0.0057,0.0209,0.0009,0.0016,0.0099,0.0155,0.0020,0.0113,0.0016,ND,ND,ND,ND,ND,ND,ND,0.0015,ND,0.0019,0.0006,50.46
8438,16,1.61,2.68,39.60,ND,0.7496,0.5430,0.48,0.1651,0.0152,0.0117,0.0089,1.3363,ND,0.0060,0.0029,0.0075,0.0004,0.0008,0.0047,0.0075,0.0005,0.0054,0.0011,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,52.75
8439,16,1.23,0.84,12.31,ND,0.3535,ND,34.13,0.0681,0.0157,0.0111,0.0128,0.8247,ND,0.0017,0.0019,0.0023,0.0004,0.0005,0.0007,0.0738,0.0025,0.0025,0.0006,ND,ND,ND,ND,ND,ND,ND,0.0004,ND,0.0016,ND,50.12
8439,16,1.62,5.30,35.00,ND,1.4007,1.4882,0.66,0.3125,0.0285,0.0154,0.0087,2.1034,ND,0.0103,0.0043,0.0147,0.0008,0.0013,0.0091,0.0147,0.0008,0.0100,0.0016,0.0005,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0011,ND,52.00
8440,16,1.25,0.52,7.35,ND,0.2920,ND,38.80,0.0556,0.0190,0.0055,0.0126,0.9010,ND,ND,0.0019,0.0082,0.0005,0.0004,ND,0.0717,0.0016,0.0019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0019,ND,50.70
8440,16,1.43,3.66,32.38,ND,0.9177,0.8950,5.13,0.2138,0.0173,0.0190,0.0096,2.0754,ND,0.0097,0.0043,0.0140,0.0006,0.0014,0.0060,0.0162,0.0010,0.0074,0.0013,ND,ND,ND,ND,ND,ND,ND,0.0009,ND,ND,0.0006,53.19
8441,16,1.99,1.11,20.46,ND,0.4492,0.0900,23.32,0.0846,0.0212,0.0105,0.0143,1.5737,ND,0.0025,0.0015,0.0014,ND,0.0005,0.0014,0.0448,0.0023,0.0033,ND,ND,ND,ND,ND,ND,ND,ND,0.0004,ND,ND,ND,50.82
