Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
6857,1,1.82,1.41,7.11,0.0434,0.3178,0.2338,35.40,0.2405,0.1125,0.0100,0.0644,1.1852,ND,ND,0.0018,0.0012,0.0004,0.0004,0.0017,0.0724,0.0009,0.0053,0.0010,ND,ND,ND,ND,ND,0,ND,ND,ND,0,ND,51.97
6857,1,1.77,1.09,6.03,0.0289,0.4119,0.0954,36.70,0.2170,0.0931,0.0064,0.0628,0.9754,ND,ND,0.0012,0.0010,0.0004,0.0003,0.0010,0.0788,0.0010,0.0051,ND,ND,ND,ND,ND,ND,0,ND,0,ND,0,ND,52.43
6858,1,1.81,4.43,36.43,ND,0.6819,1.4508,2.02,0.2724,0.0307,0.0072,0.0174,1.9576,ND,0.0012,0.0021,0.0017,0.0004,0.0004,0.0069,0.0231,0.0008,0.0167,0.0014,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.84
6858,1,1.58,4.62,36.75,ND,1.1022,1.4717,1.67,0.3019,0.0185,0.0099,0.0151,2.0969,ND,0.0020,0.0025,0.0019,0.0007,0.0005,0.0070,0.0214,0.0008,0.0166,0.0015,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,50.31
6859,1,2.12,7.04,29.84,ND,1.3717,2.6964,1.30,0.4072,0.0585,0.0505,0.0234,3.8218,ND,0.0109,0.0060,0.0102,0.0013,0.0031,0.0129,0.0143,0.0010,0.0173,0.0023,0,ND,ND,ND,ND,ND,ND,0,ND,0.0010,ND,51.17
6859,1,1.94,0.53,14.88,0.0486,0.7343,ND,27.92,0.0877,0.0382,0.0093,0.0674,2.3716,ND,0.0027,0.0016,0.0019,0.0007,0.0010,0.0006,0.0947,0.0014,0.0028,ND,0,ND,ND,ND,ND,ND,ND,0,ND,0,ND,51.26
6860,1,1.62,5.56,33.78,ND,1.4302,1.9761,1.30,0.3818,0.0309,0.0205,0.0188,2.9581,ND,0.0045,0.0032,0.0032,0.0012,0.0018,0.0091,0.0172,0.0012,0.0219,0.0019,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.85
6860,1,2.01,7.27,31.06,ND,1.8327,2.6279,1.30,0.4068,0.0442,0.0242,0.0199,3.8560,ND,0.0076,0.0049,0.0099,0.0016,0.0019,0.0120,0.0177,0.0014,0.0208,0.0024,0,ND,ND,ND,ND,ND,ND,0,ND,0,ND,49.47
6861,1,2.01,6.67,30.85,ND,1.2108,2.3881,1.27,0.3767,0.0896,0.0450,0.0174,3.3962,ND,0.0154,0.0063,0.0119,0.0016,0.0042,0.0115,0.0166,0.0017,0.0175,0.0020,0,ND,ND,ND,ND,ND,0,0,ND,0,0,51.57
6861,1,2.04,5.93,34.05,ND,1.3044,2.1090,1.07,0.4014,0.0312,0.0210,0.0186,2.8450,ND,0.0051,0.0033,0.0054,0.0012,0.0013,0.0095,0.0171,0.0017,0.0224,0.0019,ND,ND,ND,ND,ND,ND,0,0,ND,0,ND,50.11
